Date,EOG,COP
7/5/2012,43.521439,43.505760
7/6/2012,42.878090,43.088646
7/9/2012,43.280186,42.758102
7/10/2012,42.267834,42.089149
7/11/2012,43.464684,42.781723
7/12/2012,43.072044,42.482658
7/13/2012,44.043629,43.269661
7/16/2012,44.190540,43.647430
7/17/2012,45.138435,44.292770
7/18/2012,45.830383,44.678398
7/19/2012,46.564999,44.885429
7/20/2012,47.029469,44.582848
7/23/2012,46.067364,43.834370
7/24/2012,45.261654,43.507893
7/25/2012,45.351707,42.393127
7/26/2012,46.171635,43.316795
7/27/2012,47.873093,43.770668
7/30/2012,47.185867,43.683083
7/31/2012,46.451256,43.348640
8/1/2012,47.607681,43.969738
8/2/2012,45.555504,43.515854
8/3/2012,50.593529,44.359909
8/6/2012,50.114845,44.503231
8/7/2012,51.536674,44.949135
8/8/2012,51.138573,45.522449
8/9/2012,51.854214,45.458748
8/10/2012,52.129105,45.610043
8/13/2012,51.802086,45.633926
8/14/2012,52.299728,45.665779
8/15/2012,52.048534,45.578178
8/16/2012,52.603046,45.825020
8/17/2012,52.697838,45.697628
8/20/2012,51.930054,45.410973
8/21/2012,51.550892,45.092472
8/22/2012,51.617256,45.132282
8/23/2012,50.716763,44.718224
8/24/2012,51.617256,44.877472
8/27/2012,51.740467,44.893398
8/28/2012,51.574589,44.957108
8/29/2012,51.209663,44.869507
8/30/2012,50.185932,44.678410
8/31/2012,51.328144,45.219868
9/4/2012,51.811573,44.758045
9/5/2012,51.441891,43.691032
9/6/2012,53.276054,44.423611
9/7/2012,53.498810,45.100433
9/10/2012,53.271324,44.734154
9/11/2012,53.285530,44.885429
9/12/2012,53.546196,45.020805
9/13/2012,54.588871,45.904648
9/14/2012,55.745308,46.350559
9/17/2012,55.167091,46.422226
9/18/2012,54.920639,46.040020
9/19/2012,53.825832,45.633926
9/20/2012,53.816345,45.856884
9/21/2012,54.005924,45.673733
9/24/2012,53.655205,46.151485
9/25/2012,53.280796,45.713547
9/26/2012,52.418213,45.395039
9/27/2012,53.650478,45.697628
9/28/2012,53.105434,45.530407
10/1/2012,54.119671,45.713547
10/2/2012,54.569923,45.681705
10/3/2012,52.645718,45.203934
10/4/2012,52.806843,45.705597
10/5/2012,52.091183,45.848911
10/8/2012,52.048534,45.880764
10/9/2012,52.631485,46.024097
10/10/2012,51.896873,45.578178
10/11/2012,52.053276,45.618458
10/12/2012,51.555626,45.247917
10/15/2012,52.334118,45.747349
